,Id_hecho,N_VICTIMAS,FECHA_x,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA_x,ACUSADO,AÑO,FECHA_y,AAAA,MM,DD,ROL,VICTIMA_y,SEXO,EDAD,FECHA_FALLECIMIENTO
289,2018-0004,1,2018-01-09,9.0,Del Libertador Av. y Manzanares,AVENIDA,13,-58.46129513,-34.54332766,MULTIPLE,MOTO,MULTIPLE,2018,2018-01-09,2018,1,9,CONDUCTOR,MOTO,MASCULINO,39,2018-01-09 00:00:00
290,2018-0005,1,2018-01-09,22.0,Paseo Colon Av. 1019,AVENIDA,1,-58.36907201,-34.61953517,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-01-09,2018,1,9,PEATON,PEATON,MASCULINO,54,2018-01-09 00:00:00
291,2018-0006,1,2018-01-10,21.0,Valle y Barco Centenera Del,CALLE,6,-58.44062219,-34.62499107,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2018,2018-01-10,2018,1,10,CICLISTA,BICICLETA,FEMENINO,45,2018-01-10 00:00:00
292,2018-0007,1,2018-01-11,2.0,AU Perito Moreno  KM 0.6,AUTOPISTA,9,-58.52502765,-34.63601265,AUTO-AUTO,AUTO,AUTO,2018,2018-01-11,2018,1,11,CONDUCTOR,AUTO,MASCULINO,46,2018-01-11 00:00:00
293,2018-0008,1,2018-01-12,17.0,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,1,-58.36659655,-34.61687778,MOTO-CARGAS,MOTO,CARGAS,2018,2018-01-12,2018,1,12,CONDUCTOR,MOTO,FEMENINO,32,2018-01-12 00:00:00
294,2018-0009,1,2018-01-14,2.0,"Pilcomayo y Brown, Alte. Av.",AVENIDA,4,-58.36737389,-34.62763661,MOTO-MOTO,MOTO,MOTO,2018,2018-01-14,2018,1,14,CONDUCTOR,MOTO,MASCULINO,19,2018-01-14 00:00:00
295,2018-0010,1,2018-01-18,5.0,"Cervantes y Belaustegui, Luis, Dr.",CALLE,10,-58.49807953,-34.63038658,MOTO-CARGAS,MOTO,CARGAS,2018,2018-01-18,2018,1,18,CONDUCTOR,MOTO,MASCULINO,40,2018-01-18 00:00:00
296,2018-0011,1,2018-01-19,10.0,Callao y Vte. Lopez,AVENIDA,2,-58.39092703,-34.59088447,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-01-19,2018,1,19,PEATON,PEATON,MASCULINO,84,2018-01-19 00:00:00
297,2018-0012,1,2018-01-26,13.0,"Oliden y Chilavert, Martiniano, Coronel",CALLE,8,-58.46912006,-34.68049201,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-01-26,2018,1,26,CONDUCTOR,MOTO,MASCULINO,20,2018-01-26 00:00:00
298,2018-0013,1,2018-01-28,8.0,Congreso Av. y Galvan,AVENIDA,12,-58.48661286,-34.56786129,MOTO-AUTO,MOTO,AUTO,2018,2018-01-28,2018,1,28,CONDUCTOR,MOTO,MASCULINO,44,2018-01-28 00:00:00
299,2018-0014,1,2018-01-31,20.0,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,7,-58.44074927,-34.65080597,PEATON-MOTO,PEATON,MOTO,2018,2018-01-31,2018,1,31,PEATON,PEATON,MASCULINO,SD,2018-02-04 00:00:00
300,2018-0015,2,2018-02-06,1.0,Australia Av. 2800,AVENIDA,4,-58.38636298,-34.64684275,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-02-06,2018,2,6,CONDUCTOR,MOTO,MASCULINO,28,2018-02-06 00:00:00
301,2018-0015,2,2018-02-06,1.0,Australia Av. 2800,AVENIDA,4,-58.38636298,-34.64684275,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-02-06,2018,2,6,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,19,2018-02-06 00:00:00
302,2018-0016,1,2018-02-15,10.0,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,1,-58.37533517,-34.59276462,MOTO-CARGAS,MOTO,CARGAS,2018,2018-02-15,2018,2,15,CONDUCTOR,MOTO,MASCULINO,31,2018-02-15 00:00:00
303,2018-0017,1,2018-02-17,4.0,San Pedrito Av. y Rivadavia Av.,AVENIDA,7,-58.46963952,-34.63070603,PEATON-AUTO,PEATON,AUTO,2018,2018-02-17,2018,2,17,PEATON,PEATON,MASCULINO,35,2018-02-20 00:00:00
304,2018-0018,1,2018-02-17,7.0,"Isabel La Catolica y Salvadores, Cnel.",CALLE,4,-58.37207554,-34.64543658,MOTO-CARGAS,MOTO,CARGAS,2018,2018-02-17,2018,2,17,CONDUCTOR,MOTO,MASCULINO,26,2018-02-17 00:00:00
305,2018-0019,1,2018-02-17,12.0,Las Heras General Av. y Callao Av.,AVENIDA,2,-58.39189441,-34.59176378,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-02-17,2018,2,17,PEATON,PEATON,FEMENINO,80,2018-02-17 00:00:00
306,2018-0020,1,2018-02-19,22.0,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,8,-58.45012957,-34.66518343,MOTO-CARGAS,MOTO,CARGAS,2018,2018-02-19,2018,2,19,CONDUCTOR,MOTO,MASCULINO,26,2018-02-19 00:00:00
307,2018-0021,1,2018-02-22,10.0,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,4,-58.40184094,-34.64546845,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-02-22,2018,2,22,PEATON,PEATON,FEMENINO,62,2018-02-22 00:00:00
308,2018-0022,1,2018-02-24,0.0,"Montes De Oca, Manuel y Olavarria",AVENIDA,4,-58.37441153,-34.63966783,MOTO-CARGAS,MOTO,CARGAS,2018,2018-02-24,2018,2,24,CONDUCTOR,MOTO,MASCULINO,28,2018-02-24 00:00:00
309,2018-0023,1,2018-02-24,6.0,Barco Centenera Del y Rosario,CALLE,6,-58.44110156,-34.62082399,MOTO-AUTO,MOTO,AUTO,2018,2018-02-24,2018,2,24,CONDUCTOR,MOTO,MASCULINO,28,2018-02-24 00:00:00
310,2018-0024,1,2018-02-28,23.0,Alvarez Thomas Av. y Donado,AVENIDA,15,-58.47087351,-34.57827342,PEATON-CARGAS,PEATON,CARGAS,2018,2018-02-28,2018,2,28,PEATON,PEATON,MASCULINO,70,2018-02-28 00:00:00
311,2018-0025,1,2018-03-04,22.0,Av. Avellaneda y Av. Boyacá,AVENIDA,7,-58.45962210,-34.62245140,PEATON-AUTO,PEATON,AUTO,2018,2018-03-04,2018,3,4,PEATON,PEATON,MASCULINO,70,2018-03-05 00:00:00
312,2018-0026,2,2018-03-09,4.0,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,4,-58.41657793,-34.65476216,MOVIL-CARGAS,MOVIL,CARGAS,2018,2018-03-09,2018,3,9,CONDUCTOR,MOVIL,MASCULINO,24,2018-03-09 00:00:00
313,2018-0026,2,2018-03-09,4.0,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,4,-58.41657793,-34.65476216,MOVIL-CARGAS,MOVIL,CARGAS,2018,2018-03-09,2018,3,9,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,30,2018-03-09 00:00:00
314,2018-0027,1,2018-03-11,23.0,Castro y Rondeau,CALLE,5,-58.41911301,-34.63722107,PEATON-MOTO,PEATON,MOTO,2018,2018-03-11,2018,3,11,PEATON,PEATON,FEMENINO,74,2018-03-11 00:00:00
315,2018-0028,1,2018-03-13,15.0,"Bilbao, Francisco Av. y Azul",AVENIDA,9,-58.47120586,-34.64251042,PEATON-CARGAS,PEATON,CARGAS,2018,2018-03-13,2018,3,13,PEATON,PEATON,MASCULINO,71,2018-03-13 00:00:00
316,2018-0029,1,2018-03-15,18.0,Nazca Av. y Gaona Av.,AVENIDA,11,-58.47418944,-34.62049672,MOTO-AUTO,MOTO,AUTO,2018,2018-03-15,2018,3,15,CONDUCTOR,MOTO,MASCULINO,26,2018-03-15 00:00:00
317,2018-0030,1,2018-03-20,1.0,Plaza y Alvarez Thomas Av.,AVENIDA,15,-58.46720441,-34.57905579,MOTO-MOTO,MOTO,MOTO,2018,2018-03-20,2018,3,20,CONDUCTOR,MOTO,MASCULINO,24,2018-03-20 00:00:00
318,2018-0031,1,2018-03-28,10.0,"Gaona Av. y Artigas, Jose Gervasio, Gral.",AVENIDA,11,-58.46909362,-34.61779710,MOTO-CARGAS,MOTO,CARGAS,2018,2018-03-28,2018,3,28,CONDUCTOR,MOTO,MASCULINO,31,2018-03-28 00:00:00
319,2018-0032,1,2018-04-02,13.0,Cabildo Av. y Aguilar,AVENIDA,13,-58.44704343,-34.56888640,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-04-02,2018,4,2,PEATON,PEATON,MASCULINO,70,2018-04-02 00:00:00
